Instance,Optimizer,Epochs,EarlyStopping,Loss,Accuracy,Precision,Recall,F1-score
instance_1,Adam,10,False,2.990606810185863,0.0785276073619632,0.030991325428711993,0.07901234567901234,0.030284906581624083
instance_2,RMSprop,30,True,2.71635537976559,0.19386503067484662,0.18590771821147073,0.19272486772486772,0.13710838211622234
instance_3,Adam,40,True,3.3983253183562354,0.033128834355828224,0.001196808510638298,0.03333333333333333,0.0023106546854942235
instance_4,SGD,50,True,3.399580119156785,0.03680981595092025,0.004075574820957407,0.03703703703703704,0.006139206507558897
LogisticRegression,N/A,N/A,False,0.014344575834673556,0.9987730061349693,0.9988505747126436,0.9987654320987654,0.9987862738607525
LogisticRegression_Tuned,N/A,N/A,False,0.014344575834673556,0.9987730061349693,0.9988505747126436,0.9987654320987654,0.9987862738607525
